种类,名称,简介,价格,标签
定向包,12GB 快手,专属大流量月包,8,返话费
定向包,12GB 斗鱼直播,12GB流量专属月包,12,专属
定向包,12GB 虎牙直播,12GB流量专属月包,12,
定向包,12GB 腾讯游戏,12GB流量专属月包,12,专属
定向包,10GB 喜马拉雅,定向流量,8,
定向包,10GB 今日头条,专属流量月包,9,返话费
定向包,10GB 小红书,10GB大流量专属月,9,专属
定向包,10GB 网易云音乐,定向流量,9,
定向包,10GB 酷我音乐,定向流量,9,
定向包,10GB 品牌力听书,定向流量+大制作听书,10,
定向包,10GB 抖音,热门权益多选一,15,
定向包,10GB 新浪微博,专属流量+会员月卡,15,
定向包,10GB 芒果TV,专属流量+VIP月卡,19,
定向包,10GB 腾讯视频,专属流量+月会员,25,会员
定向包,10GB 爱奇艺权益,享黄金月会员,25,会员
定向包,10GB 优酷视频,专属流量+VIP月卡,25,会员
定向包,10GB 爱奇艺权益,享月会员+5G速率,29,5G
定向包,10GB 哔哩哔哩,大会员+5G速率,29,5G
定向包,10GB 芒果TV,享月会员+5G速率,29,5G
定向包,10GB 优酷视频,专属流量+5G速率,29,5G
定向包,10GB 腾讯视频,享月会员+5G速率,29,5G
定向包,10GB 爱奇艺星钻,专享流量,40,星钻VIP
定向包,8GB 百度网盘,专属流量月包,9,
定向包,6GB 原创酷听,定向流量+热门有声书,5,
定向包,6GB 斗鱼直播,定向流量+特权礼包,19,
定向包,6GB QQ音乐,定向流量+QQ音乐,20,
定向包,6GB 网易云音乐,定向流量+网易云音乐,20,
定向包,6GB 酷狗音乐,定向流量+酷狗音乐,20,
定向包,5GB 抖音,专属流量月包,9,返话费
定向包,5GB B站流量包,专享5G速率,9,5G
定向包,5GB 芒果TV,专属流量+5G速率,9,5G
定向包,5GB 腾讯视频,专属流量+5G速率,9,5G
定向包,5GB 优酷视频,专属流量+5G速率,9,5G
定向包,5GB 快手,专属流量+5G速率,9,5G
定向包,5GB 爱奇艺,专享5G速率,9,5G
定向包,5GB 百度网盘,专属流量月包,9,
定向包,5GB 美图秀秀,粉钻月卡+定向流量,15,粉钻VIP
定向包,5GB 百度网盘,流量+会员月卡,29,
定向包,4GB 王者荣耀,游戏抽奖+定向流量,12,
定向包,4GB 元梦之星,定向流量+道具礼包,15,领礼包
定向包,联通畅游,沃畅游极速版黄金会员,10,
定向包,联通畅游,沃畅游极速版铂金会员,20,
定向包,联通畅游,沃畅游极速版黑金会员,30,
日包,100GB 月末流量,27日生效,50,
日包,40GB 月末流量,27日生效,40,
日包,20GB 月末流量,27日生效,20,
日包,20GB 月末流量,30元月末包4,30,
日包,20GB 月末流量,30元月末包3,30,
日包,20GB 月末流量,30元月末包2,30,
日包,20GB 月末流量,30元月末包5,30,
日包,20GB 月末流量,30元月末包1,30,
日包,20GB 7天包,国内流量7天包,30,
日包,10GB 3天包,国内流量3天包,15,
日包,10GB 月末流量,20元月末包2,20,
日包,10GB 月末流量,20元月末包5,20,
日包,10GB 月末流量,20元月末包4,20,
日包,10GB 月末流量,20元月末包3,20,
日包,10GB 月末流量,20元月末包1,20,
日包,10GB 7天包,国内流量7天包,20,
日包,7GB 视频周会员,腾爱优芒4选1,20,
日包,5GB 月末流量,27日生效,8,
日包,5GB 月末流量,10元月末包2,10,
日包,5GB,10元月末包3,10,
日包,5GB 月末流量,10元月末包5,10,
日包,5GB 月末流量,10元月末包4,10,
日包,5GB 月末流量,10元月末包1,10,
日包,5GB 24H,国内流量24H包,10,
日包,5GB 7天包,国内流量7天包,10,
日包,5GB,10元5GB5天国内流量包,10,
日包,3GB 3天包,国内流量3天包,7,
日包,2GB 月末流量,5元月末包2,5,
日包,2GB 月末流量,5元月末包3,5,
日包,2GB 月末流量,5元月末包4,5,
日包,2GB 月末流量,5元月末包5,5,
日包,2GB 月末流量,5元月末包1,5,
日包,2GB 国内流量,国内流量日包,5,
日包,2GB 7天包,国内流量7天包,5,
日包,2GB 24H,国内流量24H包,6,
日包,1GB 月末流量,27日生效,2,
