套餐名称,方案编号,套餐价格,国内语音拨打分钟数,国内流量,国内短彩信,增值业务,超出资费,其他服务内容,适用范围,有效期限,销售渠道,上线日期,下线日期,在网要求,退订方式,违约责任,套餐说明
腾讯王卡5G亲情卡套餐(尊享服务),24JT301660,10元/月,,0GB,,内含来电显示,套外流量3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费10元/月，与主卡互拨电话免费，共享主卡套餐内语音、流量和速率。,本套餐资费仅限腾讯王卡5G用户申请办理,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20191029,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,
腾讯王卡5G亲情卡套餐(极速服务),24JT301658,10元/月,,0GB,,内含来电显示,套外流量3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费10元/月，与主卡互拨电话免费，共享主卡套餐内语音、流量和速率。,本套餐资费仅限腾讯王卡5G用户申请办理,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20191029,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,
腾讯王卡5G亲情卡套餐(优享服务),24JT301659,10元/月,,0GB,,内含来电显示,套外流量3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费10元/月，与主卡互拨电话免费，共享主卡套餐内语音、流量和速率。,本套餐资费仅限腾讯王卡5G用户申请办理,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20191029,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,
畅越冰激凌5G套餐599元,25JT300224,599元/月,3000分钟,300GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费599元/月，包含300GB通用流量、3000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐499元,25JT300225,499元/月,2500分钟,200GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费499元/月，包含200GB通用流量、2500分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐399元,25JT300232,399元/月,2000分钟,150GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费399元/月，包含150GB通用流量、2000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐399元,25JT300232,399元/月,2000分钟,150GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费399元/月，包含150GB通用流量、2000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐299元,25JT300227,299元/月,1500分钟,100GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费299元/月，包含100GB通用流量、1500分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐269元,25JT300222,269元/月,1200分钟,90GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费269元/月，包含90GB通用流量、1200分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐239元,25JT300237,239元/月,1000分钟,80GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费239元/月，包含80GB通用流量、1000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐239元,25JT300237,239元/月,1000分钟,80GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费239元/月，包含80GB通用流量、1000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐199元,25JT300223,199元/月,1000分钟,60GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费199元/月，包含60GB通用流量、1000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐199元（极速）," 
25JT300230",199元/月,1000分钟,60GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费199元/月，包含60GB通用流量、1000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐179元,25JT300229,179元/月,700分钟,50GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费179元/月，包含50GB通用流量、700分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐159元,25JT300236,159元/月,700分钟,40GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费159元/月，包含40GB通用流量、700分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐139元,25JT300234,139元/月,500分钟,35GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费139元/月，包含35GB通用流量、500分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐129元,25JT300226,129元/月,500分钟,30GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费129元/月，包含30GB通用流量、500分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐119元,25JT300221,119元/月,500分钟,25GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费119元/月，包含25GB通用流量、500分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐109元,25JT300228,109元/月,500分钟,20GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费109元/月，包含20GB通用流量、500分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐99元,25JT300235,99元/月,400分钟,20GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费99元/月，包含20GB通用流量、400分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐89元,25JT300219,89元/月,400分钟,15GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费89元/月，包含15GB通用流量、400分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200723,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐79元,25JT300231,79元/月,300分钟,15GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费79元/月，包含15GB通用流量、300分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200723,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐69元,25JT300238,69元/月,250分钟,12GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费69元/月，包含12GB通用流量、250分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200723,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐59元,25JT300233,59元/月,200分钟,10GB,,,套外流量0.02元/MB，累计至5元，按照5元/GB收费，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费59元/月，包含10GB通用流量、200分钟国内语音通话。套外流量按0.02元/MB计费，累计至5元，按照5元/GB计费，流量超过1GB后仍按上述标准计费。套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200723,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐49元,25JT300220,49元/月,100分钟,10GB,,,套外流量0.02元/MB，累计至5元，按照5元/GB收费，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费49元/月，包含10GB通用流量、100分钟国内语音通话。套外流量按0.02元/MB计费，累计至5元，按照5元/GB计费，流量超过1GB后仍按上述标准计费。套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200723,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
eSIM Pad包年套餐500元/年,24JT303628,500元/年,0分钟,500GB,0条,,关闭语音功能，套外流量日租宝1元/GB全国流量（当日有效，自动续订）,套餐内包含国内流量500GB，使用期限包年,全网用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20231019,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.eSIM Pad包年套餐500元/年。套餐内包含国内流量500GB/年，套餐内关闭语音功能、短信功能；套餐外资费日租宝1元1GB全国流量（当日有效，自动续订）。2.国内指中国内地，不含港、澳、台地区。3.其它业务资费按公司前期已备案、审批、公示的资费执行。
eSIM Pad包年套餐300元/年,24JT303627,300元/年,0分钟,300GB,0条,,关闭语音功能，套外流量日租宝1元/GB全国流量（当日有效，自动续订）,套餐内包含国内流量300GB，使用期限包年,全网用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20231019,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.eSIM Pad包年套餐300元/年。套餐内包含国内流量300GB/年，套餐内关闭语音功能、短信功能；套餐外资费日租宝1元1GB全国流量（当日有效，自动续订）。2.国内指中国内地，不含港、澳、台地区。3.其它业务资费按公司前期已备案、审批、公示的资费执行。
Tourism Sim Card 259 RMB For 30 Days,25JT303561,259元/30天,400分钟,80GB,100条,,国内流量：按单价0.02元/MB计费，累计至250MB（5元）后，按照5元/GB计费，流量超过1GB后仍按上述标准计收，以此类推；国内语音：0.15元/分钟；国内短彩信：0.10元/条,无,适用于持有外籍护照、外国人永久居留身份证、港澳居民来往内地通行证（非中国籍）人士订购,至2029年12月31日,线下及线上渠道,20241009,20291231,无,通过中国联通客服热线、营业厅、中国联通APP等咨询办理,不涉及,订购成功后立即生效，生效当日不计入套餐有效期，不含港澳台地区，非连续包月产品，允许跨月使用。
Tourism Sim Card 159 RMB For 15 Days,25JT303560,159元/15天,300分钟,40GB,100条,,国内流量：按单价0.02元/MB计费，累计至250MB（5元）后，按照5元/GB计费，流量超过1GB后仍按上述标准计收，以此类推；国内语音：0.15元/分钟；国内短彩信：0.10元/条,无,适用于持有外籍护照、外国人永久居留身份证、港澳居民来往内地通行证（非中国籍）人士订购,至2029年12月31日,线下及线上渠道,20241009,20291231,无,通过中国联通客服热线、营业厅、中国联通APP等咨询办理,不涉及,订购成功后立即生效，生效当日不计入套餐有效期，不含港澳台地区，非连续包月产品，允许跨月使用。
Tourism Sim Card 109 RMB For 11 Days,25JT303559,109元/11天,200分钟,25GB,100条,,国内流量：按单价0.02元/MB计费，累计至250MB（5元）后，按照5元/GB计费，流量超过1GB后仍按上述标准计收，以此类推；国内语音：0.15元/分钟；国内短彩信：0.10元/条,无,适用于持有外籍护照、外国人永久居留身份证、港澳居民来往内地通行证（非中国籍）人士订购,至2029年12月31日,线下及线上渠道,20241009,20291231,无,通过中国联通客服热线、营业厅、中国联通APP等咨询办理,不涉及,订购成功后立即生效，生效当日不计入套餐有效期，不含港澳台地区，非连续包月产品，允许跨月使用。
eSIM Pad包年套餐100元/年,24JT303626,100元/年,0分钟,80GB,0条,,关闭语音功能，套外流量日租宝1元/GB全国流量（当日有效，自动续订）,套餐内包含国内流量80GB，使用期限包年,全网用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20240523,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.eSIM Pad包年套餐100元/年。套餐内包含国内流量80GB/年，套餐内关闭语音功能、短信功能；套餐外资费日租宝1元1GB全国流量（当日有效，自动续订）。2.国内指中国内地，不含港、澳、台地区。3.其它业务资费按公司前期已备案、审批、公示的资费执行。
eSIM Pad专属副卡80元/月,24JT303632,80元/月,0分钟,50GB,0条,,关闭语音功能，执行主卡资费标准,套餐内包含国内流量50GB，使用期限包月,适用于可办理副卡且可共享主卡资源的主卡用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20231019,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.eSIM Pad专属副卡80元/月。月费80元，套餐包含国内流量50GB，套餐使用完毕后，共享主卡套内资源（特殊产品除外），主套餐资源不可共享的，按照副卡套外标准资费执行，3元/GB。2.国内指中国内地，不含港、澳、台地区。3.套餐签转按照现行套餐约定执行，变更套餐次月生效。4.套餐内关闭语音和短信功能。5.其它业务资费按公司前期已备案、审批、公示的资费执行。
